,video_time_stamp,blink_counter,Emotion,list_of_emotions
21,00:00:21,30,angry,"{'emotion': {'angry': 74.65625850297562, 'disgust': 2.788095509431592e-13, 'fear': 0.10239612921453292, 'happy': 0.0024509150176738027, 'sad': 25.237236931159313, 'surprise': 1.1895284186857432e-11, 'neutral': 0.0016636327100312276}, 'dominant_emotion': 'angry'}"
22,00:00:22,32,sad,"{'emotion': {'angry': 3.1650256365537643, 'disgust': 2.0868809393153858e-16, 'fear': 0.005126893665874377, 'happy': 0.0003097788976447191, 'sad': 96.82946801185608, 'surprise': 7.129908303842546e-13, 'neutral': 7.460802748937567e-05}, 'dominant_emotion': 'sad'}"
23,00:00:23,32,sad,"{'emotion': {'angry': 0.25565313767809494, 'disgust': 1.7688219308102004e-17, 'fear': 3.535754939747891e-05, 'happy': 9.507936116707676e-08, 'sad': 99.74431394006693, 'surprise': 5.774970838041998e-18, 'neutral': 4.234246983397143e-07}, 'dominant_emotion': 'sad'}"
24,00:00:24,35,sad,"{'emotion': {'angry': 13.223028182983398, 'disgust': 1.2605609373168847e-11, 'fear': 0.0052481376769719645, 'happy': 0.19905357621610165, 'sad': 86.57248616218567, 'surprise': 3.609332884652039e-10, 'neutral': 0.00018330451894144062}, 'dominant_emotion': 'sad'}"
25,00:00:25,37,sad,"{'emotion': {'angry': 0.001101622183341533, 'disgust': 9.21393800287166e-13, 'fear': 1.3165504242351744e-05, 'happy': 0.00013690344076167094, 'sad': 99.99874830245972, 'surprise': 3.5295680270607443e-14, 'neutral': 6.311738243169884e-07}, 'dominant_emotion': 'sad'}"
26,00:00:26,37,sad,"{'emotion': {'angry': 8.932245165738095e-07, 'disgust': 1.0744894529729011e-21, 'fear': 1.3308276436418964e-05, 'happy': 8.063398039548364e-10, 'sad': 99.99998807907104, 'surprise': 1.7937213926223993e-22, 'neutral': 6.634288604590033e-10}, 'dominant_emotion': 'sad'}"
27,00:00:27,38,sad,"{'emotion': {'angry': 0.0008699012660234525, 'disgust': 1.2737526503275597e-16, 'fear': 7.589215752993226e-06, 'happy': 4.73683842628589e-08, 'sad': 99.99912381166958, 'surprise': 3.7079572236380134e-20, 'neutral': 1.0252594523842947e-08}, 'dominant_emotion': 'sad'}"
28,00:00:28,38,sad,"{'emotion': {'angry': 0.08344382513314486, 'disgust': 9.166942073859149e-13, 'fear': 0.007123609248083085, 'happy': 9.661856665843516e-05, 'sad': 99.90934133529663, 'surprise': 3.861672423778802e-16, 'neutral': 7.370163923603457e-08}, 'dominant_emotion': 'sad'}"
29,00:00:29,40,surprise,"{'emotion': {'angry': 28.235888481140137, 'disgust': 2.5033511221408844, 'fear': 7.978872209787369, 'happy': 0.07048335392028093, 'sad': 0.608590105548501, 'surprise': 60.549378395080566, 'neutral': 0.053440267220139503}, 'dominant_emotion': 'surprise'}"
30,00:00:30,43,angry,"{'emotion': {'angry': 67.76924133300781, 'disgust': 0.1676803221926093, 'fear': 26.073068380355835, 'happy': 0.23102983832359314, 'sad': 1.6591323539614677, 'surprise': 1.0967273265123367, 'neutral': 3.00312340259552}, 'dominant_emotion': 'angry'}"
